abakus;abacus;Abakus
akumulace;accumulation;Akkumulation
akupresura;acupressure;Akupressur
akupunktura;acupuncture;Akupunktur
akupunkturistka;acupuncturist;Akupunkteur
akustika;acoustics;Akustik
akutol;acutol;acutol
akuzativ;accusative;Akkusativ
akvabela;aquabela;Aquabela
akvadukt;aqueduct;Aquädukt
akvakultura;aquaculture;Aquakultur
akvalung;aqualung;Aqualung
akvarel;watercolor;Aquarell
akvarelistka;watercolorist;Aquarellist
akvarelka;watercolor;Aquarell
akvaristika;aquaristics;Aquaristik
akvaristka;aquarist;Aquarianer
akvateraristika;aquateraristics;Aquaristik
akvavit;aquavit;Aquavit
akvizice;acquisitions;Akquisitionen
akvizitorka;acquirer;Erwerber
alabama;alabama;Alabama
alabastr;alabaster;Alabaster
alaburka;alaburka;alaburka
alanin;alanine;Alanin
alarm;alarm;Alarm
albatros;albatross;Albatros
albion;Albion;Albion
albit;albite;Albit
album;album;Album
albumin;albumin;Albumin
alcor;alcor;Alcor
aldebaran;aldebaran;Aldebaran
aldehyd;aldehyde;Aldehyd
aldosa;aldosa;Aldosa
aldosteron;aldosterone;Aldosteron
alegace;allegation;Behauptung
alegorie;allegory;Allegorie
alej;alley;Gasse
alela;allele;Allel
alena;alena;Alena
alenka;alenka;alenka
alergen;allergen;Allergen
alergie;allergy;Allergie
alergizace;allergy;Allergie
alergologie;allergology;Allergologie
alessandrie;alessandrie;alessandrie
aleuty;aleuty;Achtung
alexandra;alexandra;Alexandra
alexandreida;alexandreida;Alexandreida
alexandria;alexandria;Alexandria
alexandrie;Alexandria;Alexandria
alexandrin;Alexandrine;Alexandriner
alfabetizace;alphabetization;Alphabetisierung
alfatokoferol;alpha-tocopherol;Alpha-Tocopherol
alfa;alpha;Alpha
algebra;algebra;Algebra
algebrogram;algebrogram;Algebogramm
algol;algol;Algol
algologie;algology;Algologie
algoritmizace;algorithmization;Algorithmisierung
alhambra;alhambra;Alhambra
alchymie;alchemy;Alchimie
alchymistka;alchemist;Alchimist
aliance;alliance;Allianz
alias;alias;alias
aliasing;aliasing;Aliasing
alibistka;alibistka;alibistka
alice;alice;alice
alimenty;alimony;Alimente
aliterace;alliteration;Alliteration
alkalita;alkalinity;Alkalinität
alkalizace;alkalization;Alkalisierung
alkaloid;alkaloid;Alkaloid
alkan;alkane;Alkan
alka;alka;Alka
alken;alkene;Alken
alkin;alkin;Alkin
alkohol;alcohol;Alkohol
alkovna;alcove;Alkoven
alkylace;alkylation;Alkylierung
alkylchlorid;alkyl chloride;Alkylchlorid
allotransplantace;allotransplantation;Allotransplantation
almagest;almagest;fastest
almanach;almanac;Almanach
almara;almara;Almara
alobal;alobal;alobal
aloe;aloe;Aloe
aloiska;aloiska;Aloiska
alokace;allocation;Zuweisung
alokuce;allocation;Zuweisung
alomorf;allomorph;allomorph
alopecie;alopecia;Alopezie
alotrium;allotrium;Allotrium
alpaka;alpaca;Alpaka
alpa;alpa;Alpha
alpina;alpina;Alpin
alpinistika;mountaineering;Bergsteigen
alpinistka;climber;Bergsteiger
alpinka;alpinka;Alpina
alpy;Alps;Alpen
altavista;altavista;altavista
alterita;alterita;Alterita
alternace;alternation;Wechsel
alternativa;alternative;Alternative
alternativistka;alternativeist;Alternativist
alt;alto;Alt
althofen;althofen;Althofen
altimetr;altimeter;Höhenmesser
altistka;alto;Alt
altruistka;altruist;Altruist
altsaxofon;alto saxophone;Alt-Saxophon
altsaxofonistka;alto saxophonist;Altsaxophonist
altstadt;old town;alte Stadt
aluminotermie;aluminothermy;Aluminothermie
aluze;aluze;Aluze
amalgamace;amalgamation;Verschmelzung
amalgam;amalgam;Amalgam
amanda;amanda;Amanda
amara;amara;amara
amazonka;Amazon;Amazonas
amazonka;Amazon;Amazonas
ambice;ambition;Ehrgeiz
ambiguita;ambiguity;Mehrdeutigkeit
ambit;ambit;Bereich
ambivalence;ambivalence;Ambivalenz
amblyopie;amblyopia;Amblyopie
ambona;ambona;ambona
ambra;amber;Bernstein
ambulance;ambulance;Ambulanz
amerikanistika;American studies;Amerikanische Studien
amerikanistka;American;amerikanisch
amerikanizace;Americanization;Amerikanisierung
amerika;America;Amerika
ametyst;amethyst;Amethyst
amfetamin;amphetamine;Amphetamin
amfibol;amphibole;Amphibol
amfibolit;amphibolite;Amphibolit
amfiteatr;amphitheater;Amphitheater
amfora;amphora;Amphora
amid;amide;Amid
amiga;friend;Freund
aminfluorid;amine fluoride;Aminfluorid
amin;amine;Amin
aminoalkohol;amino alcohol;Aminoalkohol
aminoglykosid;aminoglycoside;Aminoglykosid
aminokyselina;amino acid;Aminosäure
aminopenicilin;aminopenicillin;Aminopenicillin
aminoplast;aminoplast;Aminoplast
aminoskupina;amino group;Aminogruppe
amnesie;amnesia;Amnesie
amnestie;amnesty;Amnestie
amok;amuck;Amok
amoniak;ammonia;Ammoniak
amortizace;amortization;Amortisation
amphetamin;amphetamine;Amphetamin
ampicilin;ampicillin;Ampicillin
amplifikace;amplification;Verstärkung
amplion;loud-speaker;Lautsprecher
amplituda;amplitude;Amplitude
ampule;ampoule;Ampulle
ampulka;vial;Phiole
amputace;amputation;Amputation
amsterodam;Amsterdam;Amsterdam
amudarja;amudarja;amudarja
amulet;amulet;Amulett
amylasa;amylase;Amylase
anabaptistka;anabaptist;Wiedertäufer
anafora;anaphora;Anapher
anafylaxe;anaphylaxis;Anaphylaxie
anaglyf;anaglyph;Anaglyphe
anagram;anagram;Anagramm
anakolut;anakolut;anakolut
anakonda;anaconda;Anakonda
analfabetka;illiterate;Analphabet
analgezie;analgesia;Analgesie
analistka;analyst;Analytiker
analog;analogue;analog
analogie;analogy;Analogie
analogon;analog;analog
analysa;analysis;Analyse
analytika;analytics;Analytik
ananas;pineapple;Ananas
anarchie;anarchy;Anarchie
anarchistka;anarchist;Anarchist
anarchokomunistka;anarcho-communist;anarcho-kommunistisch
anarchosyndikalistka;anarcho-syndicalist;Anarcho-Syndikalist
anatomie;anatomy;Anatomie
anatonomie;anatomy;Anatomie
andalusie;andalusia;andalusien
andalusit;andalusite;Andalusit
andaluzie;andalusia;andalusien
andezit;andesite;Andesit
andorra;andorra;Andorra
andradit;andradite;Andradit
andrea;andrea;Andrea
andrejka;andrejka;andrejka
androgeneze;androgenesis;Androgenese
androgen;androgen;Androgen
androidka;android;Android
andrologie;andrology;Andrologie
andromeda;andromeda;andromeda
andropauza;andropause;Andropause
andula;andula;Andula
andulka;parakeet;Sittich
andulka;parakeet;Sittich
andy;andy;Andy
anejakulace;anejaculation;Anejakulation
anekdota;anecdote;Anekdote
anekdotka;anecdote;Anekdote
anemie;anemia;Anämie
anemometr;anemometer;Windmesser
anemonka;anemonka;Anemonka
anencephalie;anencephaly;Anenzephalie
aneroid;aneroid;Aneroid
anestesiologie;anesthesiology;Anästhesiologie
anestezie;anesthesia;Anästhesie
anesteziologie;anesthesiology;Anästhesiologie
aneta;aneta;aneta
anetka;anetka;anetka
anetol;anethole;Anethol
anexe;annexation;Annexion
angelica;angelica;Engelwurz
angelika;angelika;angelika
angina;angina;Angina
angiografie;angiography;Angiographie
angiologie;angiology;Angiologie
anglie;England;England
anglistika;English;Englisch
anglistka;English;Englisch
angolanka;angolanka;Angola
angola;Angola;Angola
anguillanka;anguillanka;Anguillanka
anguilla;anguilla;Anguilla
anhydrid;anhydride;Anhydrid
anhydrit;anhydrite;Anhydrit
anihilace;annihilation;Vernichtung
anilin;aniline;Anilin
aniliniumchlorid;anilinium chloride;Aniliniumchlorid
animace;animation;Animation
animistka;animist;Animist
animosita;animosita;animosita
animoterapie;animotherapy;Animotherapie
animozita;animosity;Feindseligkeit
anion;anion;Anion
aniont;anion;Anion
anisotropie;anisotropy;Anisotropie
anita;anita;Anita
anizotropie;anisotropy;Anisotropie
anjelika;anjelika;anjelika
ankara;Ankara;Ankara
anka;anka;anka
anketa;survey;Umfrage
annapurna;annapurna;Annapurna
anna;anna;Anna
annin;annin;annin
anoda;anode;Anode
anomalita;anomality;Anomalie
anonce;announcement;Bekanntmachung
anonymita;anonymity;Anonymität
anorexie;anorexia;Anorexie
anorganika;inorganic;anorganisch
anorgasmie;anorgasmia;Anorgasmie
anorit;anorite;Anorit
anortit;anorthite;Anorthit
anotace;annotation;Anmerkung
anoxomer;anoxomer;Anoxomer
antagonistka;antagonist;Gegner
antalogie;antalogy;Antologie
antarktida;Antarctica;Antarktis
antarktis;Antarctica;Antarktis
anthokyan;anthocyanin;Anthocyanin
anthracen;anthracene;Anthracen
anthrax;anthrax;Milzbrand
antialiasing;antialiasing;Kantenglättung
antiandrogen;antiandrogen;Antiandrogen
anticipace;anticipation;Vorwegnahme
antidarwinistka;antidarwinist;Antidarwinist
antidumping;anti-dumping;Antidumping
antiestrogen;antiestrogen;Antiöstrogen
antifederalistka;antifederalist;Antiföderalist
antifona;antiphon;Antiphon
antigen;antigen;Antigen
antigorit;antigorit;antigorit
antiguanka;antiguanka;antiguanka
antigua;old;alt
antihalace;antihalation;Lichthofschutz
antihmota;antimatter;Antimaterie
antihrdinka;antihero;Antiheld
antihumanistka;antihumanist;Antihumanist
anticharta;anticharta;anticharta
antichartistka;antichartist;Antichartist
antiimperialistka;anti-imperialist;antiimperialistisch
antika;antiquity;Antike
antiklimax;anticlimax;Enttäuschung
antikocepce;contraception;Empfängnisverhütung
antikomunistka;anti-communist;antikommunistisch
antikoncepce;contraception;Empfängnisverhütung
antikorelace;anticorrelation;Antikorrelation
antikva;antique;Antiquität
antilopa;antelope;Antilope
antily;antilles;Antillen
antimilitaristka;antimilitarist;Antimilitarist
antimon;antimony;Antimon
antimonid;antimony;Antimon
antinacistka;anti-Nazi;Anti-Nazi
antineutron;antineutron;Antineutron
antinomie;antinomy;Antinomie
antiochie;antioch;Antiochia
antioxidant;antioxidant;Antioxidans
antipatie;antipathy;Antipathie
antiperspirant;antiperspirant;Antitranspirant
antiproton;antiproton;Antiproton
antipsychiatrie;antipsychiatry;Antipsychiatrie
antipsychotikum;antipsychotic;Antipsychotikum
antiradar;antiradar;Antiradar
antiraketa;anti-missile;Anti-Rakete
antireklama;anti-advertising;Anti-Werbung
antisemitistka;anti-Semitist;Antisemitist
antisocialistka;antisocialist;antisozialistisch
antisymetrie;antisymmetry;Antisymmetrie
antiteze;antithesis;Antithese
antithrombin;antithrombin;Antithrombin
antitoxin;antitoxin;Antitoxin
antokyan;anthocyanin;Anthocyanin
antokyanidin;anthocyanin;Anthocyanin
antologie;anthology;Anthologie
antonie;antonie;antonie
antonymie;antonyms;Antonyme
antracit;anthracite;Anthrazit
antrax;anthrax;Milzbrand
antropoekologie;anthropoecology;Anthropökologie
antropogenetika;anthropogenetics;Anthropogenetik
antropogeneze;anthropogenesis;Anthropogenese
antropologie;anthropology;Anthropologie
antropomorfizace;anthropomorphization;Anthropomorphisierung
antropomotorika;anthropomotorics;Anthropomotorik
antropopatologie;anthropopathology;Anthropopathologie
antropotechnika;anthropotechnics;Anthropotechnik
antuka;clay;Ton
antverpy;Antwerp;Antwerpen
anuita;annuity;Rente
anuloid;annulus;Ring
anxieta;anxiety;Angst
anxiozita;anxiety;Angst
aorist;aorist;Aorist
aorta;aorta;Aorta
aparatura;equipment;Ausrüstung
apartheid;apartheid;Apartheid
apatie;apathy;Apathie
apatit;apatite;Apatit
apatyka;apathy;Apathie
apelace;appeal;appellieren
apel;appeal;appellieren
apendicitida;appendicitis;Appendizitis
apendix;appendix;Blinddarm
apeniny;Apennines;Apenninen
aperitiv;aperitif;Aperitif
apertura;aperture;Öffnung
apetence;appetite;Appetit
apetit;appetite;Appetit
apetyt;appetite;Appetit
aplaus;applause;Beifall
aplikace;application;Anwendung
aplit;aplit;passend
apokalypsa;apocalypse;Apokalypse
apokryfa;apocrypha;Apokryphen
apokryf;apocryphal;apokryph
apolena;apolena;apolena
apolenka;apolenka;apolenka
apologetika;apologetics;Apologetik
apologie;apology;Entschuldigung
apomorf;apomorph;apomorph
apomorfie;apomorphy;Apomorphie
apostrofa;apostrophe;Apostroph
apostrof;apostrophe;Apostroph
apothema;apothema;Apothema
apotheosa;apotheosis;Apotheose
apozice;apposition;Apposition
appeal;appeal;appellieren
applet;applet;Applet
aprehenze;apprehension;Auffassung
apretura;finishing;Abschluss
aprobace;approval;die Genehmigung
aproximace;approximation;Annäherung
apsida;apse;Apsis
aqualung;aqualung;Aqualung
aquavit;aquavit;Aquavit
arabeska;arabesque;Arabeske
arabistika;Arabic;Arabisch
arabistka;arabist;Arabist
arabizace;arabization;Arabisierung
arabka;arab;Arabisch
aragonit;aragonite;Aragonit
arachnologie;arachnology;Arachnologie
arestace;arrest;Festnahme
arest;arrest;Festnahme
aretace;arrest;Festnahme
arganologie;arganology;Arganologie
argenit;argenite;Argenit
argentina;Argentina;Argentinien
argentinka;argentina;Argentinien
argon;argon;Argon
argot;slang;Slang
argumentace;argumentation;Argumentation
argument;argument;Streit
ar;ar;ar
archa;ark;Arche
archeoastronomie;archeology;Archäologie
archeologie;archeology;Archäologie
archetyp;archetype;Archetyp
arch;sheet;Blatt
archipelag;archipelago;Archipel
architektka;architect;Architekt
architektonika;architecture;die Architektur
architektura;architecture;die Architektur
archivace;archiving;Archivierung
archiv;archives;Archiv
arie;aria;Arie
arimatie;arimatie;Arimatie
aristokracie;aristocracy;Adel
aristokratka;aristocrat;Aristokrat
arita;arita;Arita
aritmetika;arithmetic;Arithmetik
arivistka;arivistka;arivistka
arizace;arization;Entstehung
arizona;arizona;Arizona
arkansas;arkansas;Arkansas
arktida;arctic;Arktis
armatura;fittings;Beschläge
armaturka;armature;Anker
armin;armin;Armin
arnika;arnica;Arnika
arogance;arrogance;Arroganz
aromaticita;aromaticity;Aromatizität
aromatizace;aromatization;Aromatisierung
arondace;arondace;rund
arsen;arsenic;Arsen
arsenid;arsenide;Arsenid
arsenik;arsenic;Arsen
arsenitan;arsenite;Arsenit
arsenopyrit;arsenopyrite;Arsenopyrit
artefakt;artifact;Artefakt
arterie;artery;Arterie
arteriografie;arteriography;Arteriographie
arteritida;arteritis;Arteriitis
arteterapeutka;art therapist;Kunsttherapeut
arteterapie;art therapy;Kunsttherapie
art;art;Kunst
artikl;Article;Artikel
artikulace;articulation;Artikulation
artikul;Article;Artikel
artilerie;artillery;Artillerie
artistika;artistika;artistika
artistka;artist;Künstler
artritida;arthritis;Arthritis
artrock;artrock;Kunstrock
artrologie;arthrology;Arthrologie
arubanka;arubanka;Aruba
aruba;aruba;Aruba
arylazid;aryl azide;Arylazid
arytmie;arrhythmia;Arrhythmie
arytmologie;arrhythmology;Arrhythmologie
arzenik;arsenic;Arsen
arzenitan;arsenite;Arsenit
arzenopyrit;arsenopyrite;Arsenopyrit
asanace;sanitation;Hygiene
asepse;asepsis;Asepsis
asertivita;assertiveness;Durchsetzungsvermögen
asexualita;asexuality;Asexualität
asfalt;asphalt;Asphalt
asfaltka;asphalt;Asphalt
asfaltoepoxid;asphaltic oxide;Asphaltoxid
asiatka;Asian;asiatisch
asie;Asia;Asien
asignace;assignment;Abtretung
asijka;Asian;asiatisch
asimilace;assimilation;Assimilation
asistence;assistance;Hilfe
asistentka;assistant;Assistent
asistentura;assistant;Assistent
asketika;asceticism;Askese
askeze;asceticism;Askese
askorban;askorban;askorban
asociace;association;Verband
asociativita;associativity;Assoziativität
asonance;assonance;Assonanz
aspartam;aspartame;Aspartam
aspekt;aspect;Aspekt
aspik;aspic;Sülze
aspirace;aspiration;Aspiration
aspirantka;aspirant;Aspirant
aspirantura;postgraduate study;Aufbaustudium
aspirin;aspirin;Aspirin
assembler;assembler;Monteur
astat;astatine;Astatin
asteroid;asteroid;Asteroid
astra;aster;Aster
astroarcheologie;astroarchaeology;Astroarchäologie
astrobotanika;astrobotany;Astrobotanik
astrodynamika;astrodynamics;Astrodynamik
astrofysika;astrophysics;Astrophysik
astrofyzika;astrophysics;Astrophysik
astrogenetika;astrogenetics;Astrogenetik
astrograf;astrograph;Astrograph
astrochemie;astrochemistry;Astrochemie
astrologie;astrology;Astrologie
astrometeorologie;astrometeorology;Astrometeorologie
astrometrie;astrometry;Astrometrie
astronautika;astronautics;Raumfahrt
astronautka;astronaut;Astronaut
astronomie;astronomy;Astronomie
astronomka;astronomer;Astronom
astropsychologie;astropsychology;Astropsychologie
asylantka;asylant;Asylant
asyl;asylum;Asyl
asymetrie;asymmetry;Asymmetrie
asymptota;asymptote;Asymptote
asynchronie;asynchrony;Asynchronität
asyrologie;asyrology;Asyrologie
atak;thus;daher
ataxie;ataxia;Ataxia
ateistka;atheist;Atheist
atestace;attestation;Bescheinigung
atest;certificate;Zertifikat
atika;attic;Dachgeschoß
atituda;atituda;Haltung
atlanta;atlanta;Atlanta
atlantik;atlantic;atlantisch
atlantistka;Atlanticist;Atlantiker
atlantis;atlantis;Atlantis
atlantologie;atlantology;Atlantologie
atlas;atlas;Atlas
atletika;athletics;Leichtathletik
atletka;athlete;Athlet
atol;atoll;Atoll
atom;atom;Atom
atomistika;atomistics;Atomistik
atomizace;atomization;Zerstäubung
atomovka;atomovka;atomovka
atopie;atopy;Atopie
atosekunda;atosecond;eine Sekunde
atrakce;attraction;Attraktion
atraktivita;attractiveness;Attraktivität
atraktor;attractor;Attraktor
atrapa;dummy;Attrappe
atribuce;attribution;Zuschreibung
atribut;attribute;Attribut
atrofie;atrophy;Atrophie
atrologie;atrology;Atrologie
atropin;atropine;Atropin
audience;audience;Publikum
audiokazeta;audio cassette;Kassette
audiologie;audiology;Audiologie
audion;audion;audion
audiosouprava;audio set;Audio-Set
audiosoustava;audio system;Audiosystem
audiostanice;audio stations;Hörstationen
audiotechnika;audio technology;Audiotechnik
audiotelekomunikace;audio telecommunications;Audio-Telekommunikation
audiotypistka;audio typist;Audiotypistin
audiovize;audiovis;audiovis
audit;audit;Prüfung
auditing;auditing;Rechnungsprüfung
auditorka;auditor;Wirtschaftsprüfer
augit;augit;prüfen
augmentace;augmentation;Augmentation
aukce;auction;Versteigerung
aula;hall;Halle
aura;aura;Aura
aureola;aureole;Aureole
auripigment;auripigment;Auripigment
aurora;aurora;Polarlicht
austenit;austenite;Austenit
austenitizace;austenitization;Austenitisierung
australanka;Australian;australisch
austrasie;Austria;Österreich
austrie;austria;Österreich
austromarxistka;Austrar Marxist;Australischer Marxist
autekologie;autecology;Autökologie
autenticita;authenticity;Authentizität
autentizace;authentication;Authentifizierung
autistka;autistic;autistisch
autoafekce;autofection;Autofektion
autoafektace;self-affecting;selbstbeeinflussend
autoafirmace;self-confirmation;Selbstbestätigung
autoagresivita;autoaggressiveness;Autoaggressivität
autoalarm;car alarm;Auto Alarmanlage
autoantigen;autoantigen;Autoantigen
autoatlas;car atlas;Auto-Atlas
autobaterie;car battery;Autobatterie
autobazar;car bazaar;Auto Basar
autobiografie;autobiography;Autobiographie
autobrzdy;car brakes;auto bremsen
autobus;bus;Bus
autocad;autocad;autocad
autocenzura;self-censorship;Selbstzensur
autocisterna;tank truck;Tankwagen
autocitace;self-citation;Selbstzitat
autocont;autocont;autokont
autodekrement;self-decree;Selbsterlass
autodesenzibilizace;self-sensitization;Selbstsensibilisierung
autodestrukce;self-destruction;Selbstzerstörung
autodetekce;autodetection;automatische Erkennung
autodiagnostika;self-diagnostics;Selbstdiagnose
autodomestikace;self-domestication;Selbstdomestikation
autodoprava;trucking;LKW-Transport
autodrom;autodrome;Autodrom
autoelektrotechnika;car electrical engineering;Auto Elektrotechnik
autoerotika;autoerotics;Autoerotik
autofokus;autofocus;Autofokus
autogen;autogen;autogen
autograf;autograph;Autogramm
autogram;autograph;Autogramm
autoimunita;autoimmunity;Autoimmunität
autoinkrement;autoincrement;Autoinkrement
autokar;coach;Coach
autokemp;car camp;Autocamp
autokemping;autocamping;autocamping
autokempink;campsite;Campingplatz
autoklub;car club;Auto Club
autokonfigurace;autoconfiguration;Autokonfiguration
autokontrola;self control;Selbstkontrolle
autokorektor;autocorrector;Autokorrektur
autokorelace;autocorrelation;Autokorrelation
autokosmetika;car cosmetics;Auto Kosmetik
autokracie;autocracy;Autokratie
autokritika;autocritical;autokritisch
autokros;autocross;Autocross
autolakovna;car paint shop;Autolackiererei
automanipulace;automanipulation;Automanipulation
automapa;road map;Straßenkarte
automat;automatic;automatisch
automaticita;automaticity;Automatismus
automatika;automatic;automatisch
automatizace;automation;Automatisierung
automobil;automobile;Automobil
automobilistka;motorist;Autofahrer
automobilka;car;Wagen
automonitor;automonitor;Automonitor
automotoklub;car club;Auto Club
autonehoda;car accident;Autounfall
autonomie;autonomy;Autonomie
autonomistka;autonomist;Autonomist
autoopravna;car repair;Autoreparatur
